1stSingle『ぐるぐるカーテン』,2012-02-22
2ndSingle『おいでシャンプー』,2012-05-02
3rdSingle『走れ!Bicycle』,2012-08-22
4thSingle『制服のマネキン』,2012-12-19
5thSingle『君の名は希望』,2013-03-13
6thSingle『ガールズルール』,2013-07-03
7thSingle『バレッタ』,2013-11-27
8thSingle『気づいたら片想い』,2014-04-02
9thSingle『夏のFree&Easy』,2014-07-09
10thSingle『何度目の青空か?』,2014-10-08
1stAlbum『透明な色』,2015-01-07
11thSingle『命は美しい』,2015-03-18
12thSingle『太陽ノック』,2015-07-22
13thSingle『今、話したい誰かがいる』,2015-10-28
14thSingle『ハルジオンが咲く頃』,2016-03-23
2ndAlbum『それぞれの椅子』,2016-05-25
15thSingle『裸足でSummer』,2016-07-27
16thSingle『サヨナラの意味』,2016-11-09
17thSingle『インフルエンサー』,2017-03-22
3rdAlbum『生まれてから初めて見た夢』,2017-05-24
18thSingle『逃げ水』,2017-08-09
19thSingle『いつかできるから今日できる』,2017-10-11
UnderAlbum『僕だけの君〜UnderSuperBest〜』,2018-01-10
20thSingle『シンクロニシティ』,2018-04-25
21thSingle『ジコチューで行こう!』,2018-08-08
22ndSingle『帰り道は遠回りしたくなる』,2018-11-14
4thAlbum『今が思い出になるまで』,2019-04-17
23rdSingle『SingOut！』,2019-05-29
24thSingle『夜明けまで強がらなくてもいい』,2019-09-04
